10-13-09:03:19:284  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 53 48 51 48 56
10-13-09:03:35:727  : 相机 Received: 67 67 68 49 44 48 46 51 49 51 44 52 48 46 49 53
10-13-09:04:25:887  : 相机 Send: System.Byte[]，成功
10-13-09:04:42:340  : 相机 Send: System.Byte[]，成功
10-13-09:10:58:764  : 相机 Send: System.Byte[]，成功
10-13-09:11:08:804  : 相机 Received: 84 50 59 52 44 49 50 55 46 48 46 48 46 49 58 53 48 51 48 56
10-13-09:11:08:804  : 相机 Send: System.Byte[]，成功
10-13-09:11:18:800  : 相机 Send: System.Byte[]，成功
10-13-09:11:28:882  : 相机 Received: 67 67 68 49 44 51 46 56 48 57 44 51 46 49 57 44 48 46 48 51 51 44 48 46 51 55 54 44 51 46 50 53 49 44 51 46 52 52 44 48 46 48 55 54 44 48 46 50 55 51 44 51 46 52 49 49 44 51 46 48 50 55 44 48 46 50 48 53 44 48 46 48 48 51 44 51 46 51 56 52 44 50 46 57 52 56 44 48 46 48 50 56 44 48 46 52 48 55 44 49 46 48 50 51 44 51 46 51 49
10-13-09:16:02:354  : 相机 Send: System.Byte[]，成功
10-13-09:16:18:814  : 相机 Received: 67 67 68 49 44 48 46 50 54 54 44 52 49 46 51 49 49
10-13-09:16:18:814  : 相机 Send: System.Byte[]，成功
10-13-09:19:40:219  : 相机 Send: System.Byte[]，成功
10-13-09:19:50:235  : 相机 Received: 84 50 59 52 44 49 50 55 46 48 46 48 46 49 58 53 48 51 48 56
10-13-09:20:00:255  : 相机 Send: System.Byte[]，成功
10-13-09:20:10:303  : 相机 Received: 67 67 68 49 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57
10-13-09:20:10:303  : 相机 Send: System.Byte[]，成功
10-13-09:26:59:750  : 相机 Send: System.Byte[]，成功
10-13-09:27:16:206  : 相机 Received: 67 67 68 49 44 48 46 51 57 56 44 52 49 46 50 53 50
10-13-09:27:16:207  : 相机 Send: System.Byte[]，成功
10-13-09:47:29:700  : 相机 Send: System.Byte[]，成功
10-13-09:47:29:700  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 53 48 53 51 56
10-13-09:47:46:186  : 相机 Received: 67 67 68 49 44 51 46 53 55 50 44 52 50 46 52 50 57
10-13-09:49:42:608  : 相机 Send: System.Byte[]，成功
10-13-09:49:59:201  : 相机 Received: 67 67 68 49 44 51 46 53 55 49 44 52 51 46 49 53 53
10-13-09:49:59:201  : 相机 Send: System.Byte[]，成功
10-13-09:51:56:937  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 53 48 53 51 56
10-13-09:52:13:641  : 相机 Received: 67 67 68 49 44 57 57 57 44 57 57 57
10-13-09:52:13:642  : 相机 Send: System.Byte[]，成功
10-13-09:57:50:153  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 53 48 53 51 56
10-13-09:58:06:626  : 相机 Received: 67 67 68 49 44 48 46 50 53 56 44 52 57 46 51 49 53
10-13-09:58:06:626  : 相机 Send: System.Byte[]，成功
10-13-09:59:57:471  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 53 48 53 51 56
