10-12-10:49:46:783  : 偏差值：CCD1,0.524,43.758
10-12-11:09:22:007  : 偏差值：CCD1,0.353,43.399
10-12-11:12:35:816  : 偏差值：CCD1,0.353,44.156
10-12-13:36:40:360  : 偏差值：CCD1,999,999
10-12-13:38:17:733  : 偏差值：CCD1,999,999
10-12-13:40:54:749  : 偏差值：CCD1,999,999
10-12-13:46:20:185  : 偏差值：CCD1,999,999
10-12-13:48:48:528  : 偏差值：CCD1,999,999
10-12-13:53:24:889  : 偏差值：CCD1,999,999
10-12-14:02:37:381  : 偏差值：CCD1,0.352,44.191
10-12-14:13:12:213  : 复检值：CCD1,3.27,3.229,0.033,0.376,3.612,3.104,0.076,0.273,3.597,2.828,0.205,0.003,3.441,3.331,0.028,0.407,1.387,2.435
10-12-14:18:10:970  : 偏差值：CCD1,0.236,44.18
10-12-14:29:05:376  : 偏差值：CCD1,0.337,44.533
10-12-14:37:19:626  : 偏差值：CCD1,0.403,44.215
10-12-14:45:51:491  : 偏差值：CCD1,0.389,44.582
10-12-14:59:38:311  : 偏差值：CCD1,0.435,44.55
10-12-15:09:37:478  : 偏差值：CCD1,0.444,44.601
10-12-15:14:48:091  : 偏差值：CCD1,0.299,44.963
10-12-15:19:34:840  : 复检值：CCD1,3.321,3.426,0.033,0.376,3.45,3.396,0.076,0.273,3.363,3.277,0.205,0.003,3.281,3.24,0.028,0.407,4.195,1.085
10-12-15:32:51:444  : 偏差值：CCD1,0.381,44.596
10-12-15:44:31:025  : 偏差值：CCD1,0.343,44.679
10-12-16:01:28:648  : 偏差值：CCD1,-2.245,42.996
10-12-16:03:29:517  : 偏差值：CCD1,-2.262,43.767
10-12-16:20:40:842  : 偏差值：CCD1,0.278,44.646
10-12-17:17:00:815  : 偏差值：CCD1,0.281,44.667
10-12-17:36:32:883  : 偏差值：CCD1,0.292,44.533
